nspec,timesc,err_lo,err_hi,NSPEC,D_fil,D_along
604,3.240757926987177,2.3489871160035243,1.1790339611236638,604,10.674202343978479,9.663430890056555
612,4.102814632047695,3.2320999941866075,1.7889125503340342,612,0.7179645311389374,10.806771639392107
615,0.255865366531296,0.2230826022525054,0.8103665624304384,615,4.772636967494784,9.197026045576527
616,5.966430246595731,4.2444713498276485,1.6884879007311948,616,6.221034676324239,9.897849041311177
619,0.8455513283736567,0.6088529187650482,1.0108288469860227,619,2.973066782616963,10.266036481022848
621,2.652042199174325,2.0183627940862703,2.638114934570898,621,0.814074944659781,9.24957008576378
623,0.8686030233122519,0.7793043268603581,2.712258711958137,623,0.734437640347179,10.81556259881047
629,0.462351967164971,0.3748835283318257,0.8400940268942201,629,12.702648354022902,10.271903748996117
647,4.296943418416193,3.071896597748566,1.68423223110603,647,1.8873756027416884,10.338950458977369
652,0.7854904295348826,0.6471154008042488,1.250852958574737,652,3.597963200803929,9.285547592809758
659,3.772337011009624,2.69903242156652,4.261326311062652,659,1.4433522653721291,9.671872358993468
665,1.371193781874938,1.1260769039841714,1.548868089485647,665,2.7548407677219298,10.046546755432534
666,6.105851377089659,4.573094362793474,2.0335454178852475,666,1.318456037166163,10.426014243851782
668,9.714418451342212,2.096194356192606,1.1898405479275596,668,4.710089217791386,10.370702426397425
672,0.5366502725987097,0.442303978094495,1.3146430167954293,672,4.3412259383518235,9.22188940597192
673,4.800783511390332,3.379215999005296,1.7860747366097591,673,1.040630848111113,6.424959303826381
674,5.327485011563589,4.353762259199383,4.950065881647957,674,1.8162767565071258,6.012306128889688
676,0.2095156847743275,0.1924177139656473,1.260240102545584,676,5.724626198122331,6.300166359778416
678,1.6217175627605016,1.3659275401408522,1.118261895787592,678,1.900779456566339,6.152585133297175
679,0.3880417197213466,0.3150701385539845,1.267188560782195,679,2.989728027287089,6.00195946218266
686,0.5433941177962485,0.4529655358908604,1.601843937341644,686,8.89062690757525,4.77100273462688
688,0.7444591515677965,0.6544280936888951,1.7291272829263449,688,3.884141941349977,4.764407708305902
691,4.412689362993725,3.4206613139866557,2.177707287277121,691,1.1406495571049193,6.977270673441012
696,0.2362855051428178,0.2026108360769791,1.0864405203993115,696,9.582066380263607,4.702729779706397
700,1.216414195502697,0.9565569031004416,1.1899386665363405,700,7.804153041157675,5.112567812504713
701,0.3921996188359919,0.360024327628528,0.7454282242731534,701,2.1109902774141283,5.782532995487032
704,0.0969826865683556,0.0818598493966651,0.3163666050221416,704,6.985681983274895,6.148004144575221
705,0.5362784205322297,0.4004092589178336,1.09421347378699,705,3.3793162492825006,5.156662163591221
709,6.231681898309193,3.280694827680774,0.771655939679464,709,2.203191465448445,6.049985758024769
710,4.24164411451701,2.532006857560466,1.6828236964747552,710,4.932097209665008,4.590182497458097
712,3.9215565978102696,2.6935071755919218,2.1831527032316345,712,1.775573636674889,6.222455382727816
715,2.9061850781778027,2.271016795369734,1.8188931959444936,715,10.753917489125675,5.051483345487005
722,8.330116568334192,1.3643713909026918,0.5980704163442265,722,4.808991989016894,4.94042924602567
738,0.3926434525132212,0.3201217908691571,1.052052599609917,738,4.193493328264511,5.0020631437033405
744,0.4125404905840457,0.3369474758848312,0.566237544110836,744,11.27238598527773,4.583917741561478
745,4.921577526241512,3.5642700187421994,2.835549628578361,745,8.048754294020341,5.768020196319084
755,0.6859204949935815,0.5729587028457287,1.8852247128195607,755,5.267014028874385,6.1325074801660096
758,5.977395427215161,3.748816537192522,1.56603778251152,758,8.413482636835068,3.3425899232181866
