TARGID,MAG_R,MAG_G,SNR,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL,D_along,D_fil,is_member,nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,D_along_2D,D_fil_2D,is_member_2D
A2142-2768,18.8829,19.8698,9.43881607055664,239.8061429,26.4389617,239.806,26.439,3.0,0.0868414,4.020680588418559,5.740490192614377,True,29,0.3767491334182571,0.3242771622281801,0.9965051574396656,3.358985743503273,0.3242771622281801,0.9965051574396656,4.109634436217129,0.7831370257133026,False
A2142-2658,18.6134,19.6033,13.679458618164062,239.7519866,26.5047543,239.752,26.5047,3.0,0.0875708,3.69121955959675,3.6727367697906477,True,30,2.0846772391647037,1.2379729435692202,1.7518568178866412,10.955874926505764,1.2379729435692202,1.7518568178866412,3.7420444965449655,0.8444268256919057,False
A2142-2560,19.6753,20.5362,5.918680667877197,239.6145668,26.6163775,239.615,26.6164,3.0,0.0843384,2.884608046844357,12.95462859239245,False,35,4.464779565147731,3.4848444480129945,1.1895563323451253,12.14350092779956,3.4848444480129945,1.1895563323451253,3.0343029066924467,1.1134527242236634,False
A2142-2536,18.8861,19.8017,9.703653335571287,239.4864481,26.5772419,239.487,26.5773,2.0,0.0875275,2.9146827797758292,4.042224960568813,True,37,4.298805548133959,1.6577845569463836,0.6242769803593724,12.138460571562964,1.6577845569463836,0.6242769803593724,2.956249757222072,1.6600317273558447,False
A2142-2783,19.9631,20.9084,4.415162563323975,239.805189,26.462092,239.805,26.4621,3.0,0.0870666,3.936893934859353,5.088864119632752,True,41,3.9797328499110014,2.126829313820965,0.8847345072426815,12.145567899631107,2.126829313820965,0.8847345072426815,4.013779778179172,0.7389026021427216,False
A2142-2443,18.7863,19.3965,6.695701599121094,239.4168843,26.6089573,239.417,26.6089,3.0,0.0906761,2.7543660099099068,5.712693458392533,True,47,7.348189784499061,2.318024456769036,0.7198424576253242,12.224692559524522,2.318024456769036,0.7198424576253242,2.6984652230971293,1.846985558622792,False
A2142-2528,19.461,20.418,7.86734676361084,239.6158242,26.6401432,239.616,26.6401,3.0,0.0852545,2.824778114365034,10.311391138933882,False,48,7.51450884869597,4.745631013140125,2.049546714738904,11.773311748801376,4.745631013140125,2.049546714738904,2.9400162391908333,1.05973337304677,False
A2142-3948,19.7728,20.5738,3.7885372638702393,239.71672,26.8817446,239.717,26.8817,3.0,0.0934347,2.253404144750581,13.357665455569537,False,49,1.69096340095901,1.337925142520401,1.2060508127992478,11.932589852455328,1.337925142520401,1.2060508127992478,2.1437623278345415,0.19432295163459168,True
A2142-8593,18.3318,19.2956,12.614052772521973,239.6138098,26.6759421,239.614,26.6759,3.0,0.0865533,2.7214695191991867,6.576941961252642,True,55,0.9313074341905568,0.7004349660940292,1.5705753394314117,7.144039678439861,0.7004349660940292,1.5705753394314117,2.7907661543126987,0.9930153241751828,False
A2142-2644,19.9549,20.608,5.854259967803955,239.6589388,26.6053741,239.659,26.6054,3.0,0.0842882,3.003328720174742,13.090218718957935,False,59,1.554806498815931,1.269056186345666,2.089108318923089,9.730043828156331,1.269056186345666,2.089108318923089,3.161032065193468,0.9749423051540348,False
A2142-8710,19.4075,20.3008,7.984116554260254,239.738418,26.6676404,239.738,26.6676,2.0,0.0861882,2.966342100094034,7.581256395399461,False,64,1.5120408448309917,1.2303724423395108,1.0666517780984552,11.918175111190289,1.2303724423395108,1.0666517780984552,3.054520417995783,0.5575302530926589,False
A2142-2664,19.7686,20.6057,7.067630767822266,239.7349443,26.5291816,239.735,26.5292,3.0,0.0861326,3.504761248507796,7.774742799101445,False,71,3.5444231796788817,2.7767731959420408,2.0712599895603745,7.405628535558379,2.7767731959420408,2.0712599895603745,3.6112313544050583,0.8559887093589824,False
A2142-2892,19.3501,20.1182,5.934085369110107,239.9664706,26.4165248,239.966,26.4166,3.0,0.0892056,4.516652268983559,1.158082000827559,True,75,3.698343993735927,2.0603541233798266,0.8851828176281726,12.139631189608066,2.0603541233798266,0.8851828176281726,4.496507577128178,0.2473528892667006,True
A2142-5379,18.4935,19.4851,14.673322677612305,239.5556863,26.748167,239.556,26.7481,3.0,0.0873369,2.351156595866058,4.362976692958112,True,77,0.3345661243398456,0.2823544128774804,0.9145205827303168,7.524200763509396,0.2823544128774804,0.9145205827303168,2.3897935007978655,1.05461308212816,False
A2142-2907,19.9556,20.8176,4.91744327545166,239.9352105,26.4031735,239.935,26.4032,3.0,0.090905,4.597704929558667,6.046842975399938,True,81,5.983136345876279,4.545667450439311,2.0691638597432043,11.650901305153353,4.545667450439311,2.0691638597432043,4.493271927492463,0.38768565716826525,True
A2142-8709,19.3439,20.2754,7.877060890197754,239.6959318,26.627711,239.696,26.6278,3.0,0.0861387,3.046198302850118,7.74497600228145,False,85,6.931991683122593,4.873965341274596,1.3029377913533209,12.23808057207694,4.873965341274596,1.3029377913533209,3.1385196918032476,0.79434458731872,False
A2142-2659,17.7657,18.7516,19.032527923583984,239.6944283,26.4142223,239.694,26.4142,3.0,0.0870759,3.9275691395102954,5.157523425851439,True,92,0.8879571772502934,0.718814220387707,1.863139273004793,11.571391108677004,0.718814220387707,1.863139273004793,4.003853190530251,1.240850754873632,False
A2142-8586,19.5743,20.3116,5.308969497680664,239.550892,26.7175172,239.551,26.7175,3.0,0.086701,2.447377823105802,6.1766477959263595,True,93,5.487736812032783,2.6499152381230173,1.4430994166418856,12.188205505060347,2.6499152381230173,1.4430994166418856,2.5054992227941346,1.1354571172796342,False
A2142-8874,19.0173,19.9638,10.20486831665039,239.9230876,26.4963629,239.923,26.4964,3.0,0.0907601,4.180218643331696,5.6282809774852085,True,94,3.668680654118933,2.986045919350424,1.9354135199796136,11.114281226897251,2.986045919350424,1.9354135199796136,4.0916632342764325,0.2403331845448299,True
