NSPEC,TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
100,A2142-1278,22.1523,22.7194,0.49812114238739014,-0.28265926241874695,239.4280574,26.2089141,239.428,26.2089,0.0,3.92251
101,A2142-1337,18.8702,19.6257,9.623929977416992,4.118572235107422,239.5615452,26.1353111,239.561,26.1353,2.0,0.0953324
102,A2142-7535,19.9513,20.8124,5.116387367248535,1.679774284362793,239.7805216,26.1083268,239.781,26.1083,2.0,0.156234
103,A2142-6141,19.4832,20.1002,5.180136203765869,2.3212637901306152,239.3226046,26.0396341,239.323,26.0396,2.0,0.0721673
104,A2142-7432,18.3319,18.9635,12.706155776977539,7.369049072265625,239.7169172,26.1355948,239.717,26.1356,3.0,0.0324069
105,A2142-1427,18.6934,19.3697,8.727567672729492,4.1064863204956055,239.7779471,26.0590486,239.778,26.059,3.0,0.046685
106,A2142-6024,19.637,20.6393,7.663494110107422,2.3698461055755615,239.1955614,26.1143175,239.196,26.1143,2.0,0.192891
107,A2142-7622,18.0551,19.0474,18.60007667541504,7.269609451293945,239.9550985,26.0799308,239.955,26.0799,3.0,0.0912373
108,A2142-6061,21.8843,22.381,0.6750357151031494,0.23530521988868713,239.158063,26.1477068,239.158,26.1477,0.0,3.97352
109,A2142-6138,19.7008,20.5979,6.441014289855957,2.252011775970459,239.3057901,26.0752398,239.306,26.0753,3.0,0.0940135
111,A2142-1341,19.7593,20.5901,3.1906003952026367,0.8625172972679138,239.6630655,26.1253091,239.663,26.1253,3.0,0.250632
113,A2142-7617,18.757,19.5494,8.882061004638672,3.6463871002197266,239.9356663,26.0944922,239.936,26.0945,3.0,0.0714465
114,A2142-6151,18.9416,19.5158,9.906250953674316,5.162960529327393,239.351194,25.9195562,239.351,25.9195,3.0,0.072686
116,A2142-6031,17.6354,18.5308,21.436927795410156,8.69831371307373,239.186989,25.9207024,239.187,25.9207,3.0,0.0690407
117,A2142-6202,22.1273,23.5401,1.8417431116104126,0.12117014825344086,239.3760458,26.0451504,239.376,26.0451,0.0,0.400496
118,A2142-7638,20.0869,20.8525,2.106200695037842,0.881877601146698,239.909171,26.063727,239.909,26.0637,3.0,0.240066
119,A2142-1305,21.6258,22.9312,1.587492823600769,0.20336130261421204,239.4336037,26.0767184,239.434,26.0767,0.0,1.45427
122,A2142-7458,21.631,22.9674,1.9596017599105835,0.3848588764667511,239.6538314,26.2537319,239.654,26.2537,0.0,1.5727
124,A2142-7408,20.5561,21.4712,4.0192365646362305,1.387650728225708,239.602354,26.3139304,239.602,26.3139,3.0,0.209821
125,A2142-7161,18.9155,19.6613,11.267370223999023,4.6221466064453125,239.2424259,26.4877723,239.243,26.4878,2.0,0.15397
126,A2142-7173,19.9802,21.0524,4.414881229400635,1.0431239604949951,239.2843326,26.4700948,239.284,26.4701,2.0,0.214162
127,A2142-1113,21.6289,22.8922,0.7841572165489197,0.07494401931762695,239.2065601,26.3691515,239.207,26.3691,0.0,0.555402
129,A2142-7191,20.8041,21.6385,3.0322976112365723,1.0818607807159424,239.1907734,26.4020154,239.191,26.402,0.0,0.477011
131,A2142-7243,19.3308,19.5244,8.131629943847656,5.737586975097656,239.3383497,26.3352846,239.338,26.3353,3.0,0.0921321
132,A2142-7238,20.0308,21.1645,5.135919570922852,1.4559897184371948,239.4780448,26.3485394,239.478,26.3485,3.0,0.361251
133,A2142-7166,19.7581,20.3955,5.333491325378418,2.1346499919891357,239.3156116,26.5028903,239.316,26.5029,2.0,0.0849637
134,A2142-7253,21.0937,22.2818,2.8529860973358154,1.0771796703338623,239.2928392,26.3492082,239.293,26.3492,2.0,-0.000441599
135,A2142-1156,19.1415,19.8631,6.66581916809082,2.3871920108795166,239.2889821,26.3146407,239.289,26.3147,3.0,0.0885146
137,A2142-7372,20.8486,21.3729,1.9549247026443481,0.991823673248291,239.4873497,26.3071692,239.487,26.3071,0.0,1.56205
138,A2142-2547,19.5488,20.2801,6.624472141265869,2.835421323776245,239.5294258,26.4771461,239.529,26.4771,2.0,0.165653
140,A2142-7242,18.1687,19.0949,16.640811920166016,6.855348587036133,239.3722685,26.4132483,239.372,26.4132,3.0,0.0779102
141,A2142-7509,23.1489,23.424,0.16847346723079681,0.2457938939332962,239.7084835,26.2451513,239.708,26.2452,0.0,0.0998059
142,A2142-1079,19.8877,20.7648,4.709043025970459,1.7090082168579102,239.1643833,26.3492412,239.164,26.3493,2.0,0.0793896
143,A2142-1161,17.8233,18.8642,21.77425765991211,8.43359088897705,239.3418792,26.3057251,239.342,26.3057,3.0,0.0848579
144,A2142-7350,19.1696,20.1441,9.472214698791504,3.226799726486206,239.5552219,26.2327079,239.555,26.2327,3.0,0.118629
146,A2142-1425,19.3455,20.1253,6.824147701263428,2.889202117919922,239.7069283,26.0489288,239.707,26.049,3.0,0.0885769
147,A2142-7236,18.413,19.3613,15.905747413635254,6.3112101554870605,239.416542,26.2828422,239.417,26.2828,2.0,0.0843037
