NSPEC,TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL
672,A2142-8118,19.976,20.8998,3.3251640796661377,1.2532368898391724,240.7226411,25.6280591,240.723,25.628,2.0,0.0900257
673,A2142-3239,17.4251,18.5218,23.92865753173828,9.531927108764648,240.3485638,26.1161491,240.349,26.1161,3.0,0.0888365
674,A2142-9357,19.6065,20.179,5.292304039001465,2.3133795261383057,240.5222347,26.2956632,240.522,26.2957,3.0,0.0888597
676,A2142-3225,19.9639,20.672,3.326078414916992,1.3170857429504397,240.3933119,26.1270347,240.393,26.1271,3.0,0.0865604
678,A2142-9392,19.9305,20.4717,3.316364288330078,1.5868868827819824,240.6013429,26.2942762,240.601,26.2943,3.0,0.0887141
686,A2142-5319,19.4562,20.1367,4.717001914978027,2.1419572830200195,240.9369445,26.7424978,240.937,26.7425,3.0,0.0857479
688,A2142-4693,19.1807,20.0654,7.921209335327148,3.0517396926879883,240.5051338,26.6037494,240.505,26.6038,3.0,0.0896447
691,A2142-7819,18.1977,19.1556,11.887306213378906,4.568811416625977,240.239976,25.9332487,240.24,25.9332,3.0,0.0889188
700,A2142-10451,19.2032,19.6596,5.259085655212402,2.971274375915528,240.7184863,26.6326878,240.718,26.6327,3.0,0.0910177
701,A2142-9269,19.1917,19.58,6.499314308166504,3.8757264614105225,240.3450415,26.2776321,240.345,26.2776,3.0,0.0891909
704,A2142-3231,18.2794,19.1894,9.962591171264648,3.469932794570923,240.2882128,26.1100525,240.288,26.11,3.0,0.0861097
705,A2142-4029,19.7621,20.4667,4.129467010498047,1.968113899230957,240.5737268,26.5357708,240.574,26.5358,3.0,0.0894004
709,A2142-3140,19.2934,20.2765,7.380374431610107,2.372929096221924,240.3553092,26.2177075,240.355,26.2178,2.0,0.0892394
710,A2142-10354,19.5616,20.1662,6.227658748626709,2.9027881622314453,240.6399942,26.7094743,240.64,26.7095,3.0,0.0899149
712,A2142-3235,19.4844,20.332,6.0159687995910645,2.068521499633789,240.3704817,26.1798219,240.37,26.1798,3.0,0.0890837
