TARGID,MAG_R,MAG_G,SNR_RED,SNR_BLUE,WEAVE_RA,WEAVE_DEC,CSV_RA,CSV_DEC,FLAG_Z,Z_FINAL,D_along,D_fil,is_member,nspec,timesc,err_lo,err_hi,t99,err_lo_t99,err_hi_t99,m_star,err_lo_m,err_hi_m
A2142-4314,19.5226,20.3601,5.527640342712402,2.303642749786377,240.0389174,26.7869579,240.039,26.787,3.0,0.0866451,3.0471175429633504,6.289338135021665,True,229,3.491950366578724,2.4567523968329663,2.127182515831122,12.239375959936757,1.0761897717912312,0.2777733458281393,12.239375959936757,1.0761897717912312,0.2777733458281393
A2142-8887,19.2888,20.4409,7.366325855255127,2.254590034484864,239.9198686,26.5623141,239.92,26.5624,2.0,0.0923263,3.965899697206747,10.14326615844132,False,234,1.3970212028430211,1.1729868373961116,1.3832036890796784,11.21476502902661,1.5471487392943946,1.0667029975162483,11.21476502902661,1.5471487392943946,1.0667029975162483
A2142-2912,19.8268,20.844,3.341545581817627,1.1125779151916504,240.0362243,26.4177509,240.036,26.4178,3.0,0.0878318,4.570464572141713,2.8359879478853687,True,235,1.566269602772607,1.197363951924908,1.9702421102101464,9.38140092575956,0.8395909130242298,1.9885972167605583,9.38140092575956,0.8395909130242298,1.9885972167605583
A2142-8880,19.3174,20.2233,7.1078290939331055,2.778945207595825,239.9511257,26.5083609,239.951,26.5084,3.0,0.0870538,4.015433102712532,5.07546533405877,True,236,0.7156364026177053,0.5700014092373573,1.723137897269695,8.839624060941338,1.6670223162205131,2.802657844854842,8.839624060941338,1.6670223162205131,2.802657844854842
A2142-2916,20.0041,21.0316,4.972630023956299,1.7459094524383545,240.0319358,26.338716,240.032,26.3388,3.0,0.0885789,4.921739602891759,0.7044076174554159,True,,,,,,,,,,
A2142-4212,18.3012,19.2263,11.449847221374512,4.6149773597717285,239.9594856,26.9215064,239.96,26.9215,2.0,0.0915392,2.501432788035068,7.929438107720282,False,238,2.8114127867691447,2.397429584412897,2.817739048112082,11.20989111887758,1.9192952260744232,1.064574192715865,11.20989111887758,1.9192952260744232,1.064574192715865
A2142-9149,19.3204,19.7599,4.307015419006348,2.2955892086029053,240.2047727,26.5184204,240.205,26.5185,3.0,0.0869122,4.425025982779661,5.551817354619534,True,241,4.828556226147798,3.614960432084847,1.674572461139487,11.446579363908146,2.251504379103816,0.9692436354913364,11.446579363908146,2.251504379103816,0.9692436354913364
A2142-3012,19.3695,20.2327,7.510090351104736,3.1524229049682617,240.1248642,26.3187293,240.125,26.3188,3.0,0.0849763,4.9668780705039834,11.097520372944977,False,246,3.34753534356234,2.7789850603742607,2.2584530599822727,11.59061438714194,2.472197253705706,0.7337373236113933,11.59061438714194,2.472197253705706,0.7337373236113933
A2142-9038,19.7825,20.0609,3.967118501663208,2.645263195037842,240.1529728,26.4628827,240.153,26.4629,3.0,0.0929655,4.8643691738649535,11.982645009826205,False,250,0.1235983428741835,0.1059882171887967,0.3210304463751043,12.128394379234646,0.8580644798614898,0.3244537204687407,12.128394379234646,0.8580644798614898,0.3244537204687407
A2142-10005,19.9836,20.8077,1.6597840785980225,0.5977442264556885,240.1689291,26.917238,240.169,26.9172,3.0,0.0892581,2.843072851132211,2.007966755892289,True,,,,,,,,,,
